# N 	NAME 	S[cm] 	BetaX1 	AlfaX1 	BetaY1 	AlfaY1 	Teta1/(2*PI) 	BetaX2 	AlfaX2 	BetaY2 	AlfaY2 	Teta2/(2*PI) 	U      	DspX 	DspXp 	DspY 	DspYp 	NuX 	NuY 	-M56[cm]
3619	qTQFA4A36	171632.98	9223.69	1.6959	234.168	-0.0604322	0.21808	656.5	0.103275	3261.42	-0.614476	0.221707	0.0179275	154.925	-0.0201485	11.5577	0.00730672	5.35972	5.20181	-490.309
3682	qTQDD1A37	174607.32	3261.19	-0.703426	605.106	0.144641	0.312802	203.077	-0.0164418	9208.32	1.83871	0.30139	0.00462946	156.837	0.0669576	26.5303	-0.004379	5.45762	5.28608	-500.262
3745	qTQFA4A38	177581.66	9790.39	1.9206	61.6569	0.0209073	0.375948	260.728	0.0872716	2954.16	-0.608266	0.39311	0.00745186	377.955	-0.0458303	16.0154	0.00240511	5.53862	5.38965	-514.167
3807	qTQDD1A39	180558.54	2976.04	-0.549276	8.22954	-0.00109215	0.204606	2.59389	-0.00274061	9207.74	1.73082	0.212065	0.0082661	314.752	0.0989481	23.0181	-0.00565597	5.63798	5.47815	-528.695
3871	qTQA42	183530.34	8674.66	1.54096	108.402	-0.0657894	0.113242	250.685	0.0022307	3189.37	-0.63665	0.125237	0.00911519	613.982	-0.0974268	8.85593	-0.000985688	5.72885	5.57686	-543.55
4052	qTQA45	192455.90	5573.5	-1.37034	129.694	0.0551865	0.332253	288.334	-0.0375145	7316.43	1.34912	0.415023	0.00239189	443.016	0.095632	-42.1577	0.00731056	5.97059	5.88151	-579.203
4611	qTQB15	222817.17	7761.71	1.4882	28.3229	0.0131941	-0.426717	54.0045	0.0301032	5028.55	-0.636556	-0.434541	-0.0148228	321.719	-0.0275252	32.81	0.00213351	7.51478	7.44446	-640.371
4790	qTQDD1B18	231737.65	3261.67	-0.682845	782.334	0.13498	0.267842	287.149	-0.0481203	8925.14	1.69161	0.22931	-0.0148228	319.984	0.0289756	-15.1487	-0.00203127	7.82338	7.70111	-673.267
4852	qTQFA4B19	234711.99	9806.16	1.90949	220.522	-0.0131228	0.368753	559.688	0.151833	3168.07	-0.723933	0.349481	-0.0148228	424.796	-0.105408	-22.7674	-0.00998573	7.90618	7.80495	-679.889
4916	qTQDD1B21	237688.87	3198.56	-0.631595	265.417	0.0897623	0.493713	31.8546	0.0186544	10116.4	1.91658	0.489791	-0.0148228	181.548	-0.00202756	-48.567	0.00890966	8.00395	7.88783	-683.783
4980	qTQFA4B22	240660.67	9501.52	1.84502	9.09846	-0.00887926	-0.141979	70.8866	-0.00815506	3164.94	-0.588718	-0.0802586	-0.0154691	213.062	-0.0525002	-22.324	0.00106247	8.08905	7.98441	-685.771
5043	qTQDD1B23	243635.01	3042.2	-0.616516	228.168	0.012228	0.105906	134.706	-0.0604592	9080.35	1.7755	0.0769898	-0.0125922	117.435	0.0230499	-24.0695	0.00855436	8.19113	8.07227	-688.524
5106	qTQFA4B24	246609.35	9307.42	1.76336	198.432	-0.0630641	0.221238	654.748	0.114309	3020.32	-0.657963	0.199798	-0.00993923	221.054	-0.0294358	2.03311	0.00910703	8.27942	8.17756	-695.871
5169	qTQDD1B25	249586.23	3150.03	-0.665923	654.045	0.139472	0.332078	175.692	-0.00711882	9697.29	1.81079	0.297038	-0.00584595	198.745	0.0731814	28.0256	-0.000871307	8.38019	8.26404	-706.097
5232	qTQFA4B26	252558.03	9625.3	1.8515	99.3009	0.016589	0.423977	185.725	0.0684549	3308.58	-0.670735	0.402824	-0.00326625	435.121	-0.0616851	28.765	0.0102597	8.46442	8.35928	-722.104
5295	qTQDD1B27	255532.37	3124.82	-0.623265	56.8461	0.0272305	-0.428307	3.53483	-0.00168946	9791.22	1.92871	-0.276337	-0.00822653	324.316	0.0873314	42.5172	-0.0105701	8.56361	8.44107	-739.189
5358	qTQFA4B28	258506.71	9313.28	1.79687	26.8248	-0.0265136	0.0319978	173.198	0.00408455	3033.66	-0.58094	0.0219855	-0.00871881	590.606	-0.109274	14.1921	-0.00354674	8.65025	8.54127	-756.53
5421	qTQDD1B29	261483.59	3060.3	-0.639574	394.749	0.0404438	0.171409	184.019	-0.0646311	9059.03	1.72766	0.134872	-0.00728216	340.767	0.0489179	5.4513	-0.00460509	8.75280	8.63091	-771.46
5485	qTQFA4B32	264455.39	9452.44	1.79267	225.482	-0.0524418	0.266868	673.068	0.135376	3134.79	-0.689615	0.244606	-0.00367377	499.147	-0.113916	-6.82229	-0.00557739	8.83941	8.73324	-781.203
5548	qTQDD1B33	267429.73	3183.31	-0.667702	584.779	0.139013	0.390502	127.866	0.00824348	9983.38	1.88524	0.360922	-0.017513	228.116	0.00471838	-36.5209	0.00334736	8.93976	8.81760	-787.626
5611	qTQFA4B34	270404.07	9696.6	1.86729	59.8312	0.0185148	-0.479866	83.2588	0.0354257	3302	-0.646758	-0.470664	-0.0164088	272.519	-0.0701439	-27.4802	-0.00600033	9.02436	8.91281	-790.128
5674	qTQDD1B35	273380.95	3119.12	-0.620672	35.7411	0.0008836	-0.135273	42.7572	-0.0365487	9564.9	1.89023	-0.0641475	-0.0171798	124.187	0.00866888	-41.2638	0.0107383	9.12443	8.99652	-792.098
5737	qTQFA4B36	276352.75	9335.88	1.79046	125.931	-0.0708403	0.108135	531.493	0.0568163	3020.45	-0.60765	0.0903582	-0.0169406	187.37	-0.0314093	-9.59284	0.00696575	9.21181	9.09928	-796.622
5800	qTQDD1B37	279327.09	3094.98	-0.658546	697.037	0.113526	0.247664	245.183	-0.0482336	9269.27	1.7422	0.21376	-0.0221164	156.506	0.0565016	4.95304	0.00356731	9.31515	9.18953	-803.693
5863	qTQFA4B38	282301.43	9674.79	1.82916	220.183	-0.0201996	0.359178	543.693	0.138376	3257.55	-0.714871	0.338715	-0.0180477	349.953	-0.045327	17.7611	0.0102956	9.40154	9.28999	-817.053
5925	qTQDD1B39	285278.31	3213.18	-0.65048	309.329	0.098558	0.486147	39.1811	0.0181917	10139.8	1.95313	0.478047	-0.0160839	286.396	0.0894167	46.4189	-0.00666363	9.49996	9.37168	-832.531
5989	qTQFA4B42	288250.11	9537.61	1.85467	9.39438	-0.00179207	-0.219955	57.3312	-0.00545938	3211.82	-0.601333	-0.120136	-0.0167209	561.15	-0.0950736	30.6605	0.00584629	9.58478	9.46745	-850.655
6052	qTQDD1B43	291224.45	3042.98	-0.613165	167.32	0.00583463	0.0824012	115.381	-0.0541029	9184.59	1.80645	0.0557304	-0.0133701	353.122	0.06631	28.2962	-0.0109756	9.68669	9.55410	-867.48
6115	qTQFA4B44	294198.79	9284.35	1.75979	171.25	-0.0597054	0.208343	595.554	0.100562	3000.88	-0.641165	0.182376	-0.0111709	558.937	-0.119247	-2.36562	-0.0098134	9.77520	9.65922	-880.424
6176	qTQDD1B45	297175.67	3148.88	-0.669327	622.087	0.126522	0.322416	172.712	-0.0112346	9570.16	1.78555	0.283539	-0.00725423	275.001	0.0162687	-27.4973	0.00176924	9.87629	9.74678	-889.883
6239	qTQFA4B46	300147.47	9541.06	1.83896	118.442	0.00938473	0.416928	204.034	0.0711362	3437.84	-0.728226	0.390945	-0.00452663	344.362	-0.0880577	-22.9143	-0.00579668	9.96108	9.84081	-894.082
6301	qTQDD1B47	303121.81	3111.45	-0.629835	110.851	0.0424233	-0.442968	5.88615	0.000417241	10262.4	2.0365	-0.341845	-0.0103104	145.069	-0.0003993	-47.5476	0.00918016	10.06126	9.91905	-896.49
6619	qTQFA4C13	321585.69	9706.92	1.86271	23.1886	0.0153833	-0.447764	10.0354	0.00434233	3341.01	-0.639816	-0.342672	-0.00831966	205.434	-0.0297576	29.3813	0.00603656	10.55969	10.42696	-922.419
6681	qTQDD1C14	324560.03	3131.55	-0.616076	17.8091	-0.0028717	-0.0359165	46.3571	-0.0305856	9479.29	1.89737	-0.0127004	-0.00690855	179.797	0.0659547	38.0887	-0.0109314	10.65814	10.50965	-931.453
6743	qTQFA4C15	327536.91	9241.51	1.79017	76.859	-0.0409738	0.151995	371.518	0.0504408	2922.13	-0.581169	0.114785	-0.00623916	397.61	-0.0543988	7.44664	-0.00674024	10.74489	10.61399	-939.818
6806	qTQDD1C16	330508.71	3023.21	-0.631849	455.101	0.0732279	0.267511	157.053	-0.0263185	9078.85	1.69034	0.215335	-0.00337615	308.39	0.0887255	-10.2511	-0.00208487	10.84791	10.70501	-947.814
6868	qTQFA4C17	333483.05	9265.55	1.75855	149.612	-0.0142563	0.357852	298.527	0.0825006	3376.61	-0.76315	0.31665	-0.0002091	575.632	-0.103368	-15.8403	-0.0064328	10.93576	10.80257	-956.569
6929	qTQDD1C18	336457.39	3356.81	-0.740811	271.683	0.0766149	0.479271	24.4575	0.00916681	10358.1	2.0287	0.460372	-0.0105896	318.134	0.0351469	-50.6808	0.00673116	11.03341	10.88120	-960.404
6992	qTQFA4C19	339431.73	10244.3	2.00533	11.1	0.00650144	-0.334033	35.4901	-0.00123448	3125	-0.54885	-0.169463	-0.0110777	439.993	-0.105008	-31.3676	-0.00388722	11.11262	10.97680	-968.991
7056	qTQDD1C21	342408.61	3075.34	-0.545175	97.3223	-0.00248971	0.0532573	90.8113	-0.0461087	8791.61	1.72181	0.0322228	-0.0114728	192.729	0.000385272	-38.4367	0.012246	11.20977	11.06675	-977.379
7120	qTQFA4C22	345380.41	8712.51	1.69237	149.045	-0.0608932	0.19056	517.214	0.082991	2991.09	-0.681548	0.162617	-0.00983312	227.828	-0.0567202	-1.46178	0.0114116	11.30069	11.17452	-986.716
7184	qTQDD1C23	348354.75	2985.78	-0.694966	606.587	0.115474	0.331211	146.948	-0.010731	9923.13	1.82099	0.287407	-0.0192248	119.185	0.0195807	23.6089	0.00035143	11.41025	11.26158	-996.317
7248	qTQFA4C24	351329.09	10008.4	1.8336	133.937	0.00223917	0.448459	199.697	0.0630343	3461.02	-0.705234	0.426929	-0.0168052	213.232	-0.0299107	27.2487	0.0104476	11.49650	11.35470	-1007.3
7312	qTQDD1C25	354305.97	3477.66	-0.698921	111.961	0.0435363	-0.398197	14.1759	-0.00607615	9975.85	2.00311	-0.272004	-0.0168463	190.021	0.0700279	55.0135	-0.0103609	11.58881	11.43440	-1018.34
7375	qTQFA4C26	357277.77	9902.78	1.99612	32.1313	-0.027795	-0.0136356	225.222	0.0126087	2965.58	-0.54674	-0.0094054	-0.0178878	418.403	-0.0582895	27.5932	0.000991818	11.66846	11.53578	-1029.95
7439	qTQDD1C27	360252.11	2873.05	-0.526556	326.659	0.036338	0.167584	148.541	-0.0421522	8780.61	1.65808	0.131892	-0.0163669	317.211	0.0879673	16.1979	-0.00977736	11.77198	11.62909	-1040.96
7503	qTQFA4C28	363226.45	8651.32	1.60821	179.019	-0.0411926	0.293679	454.418	0.0984232	3177.06	-0.743687	0.262375	-0.0132694	585.689	-0.106675	-11.6469	-0.0120182	11.86737	11.73373	-1051.3
7567	qTQDD1C29	366203.33	3221.75	-0.762798	415.414	0.105288	0.40506	66.0521	0.0119996	10298.7	1.9503	0.355564	-0.00339947	347.299	0.0546485	-32.6437	0.00526176	11.97078	11.81479	-1060.73
7631	qTQFA4C32	369175.13	10422.6	1.98273	27.0654	0.0162751	0.497047	10.8951	0.00977374	3302.19	-0.602917	0.491729	-0.00253741	520.927	-0.116604	-16.4048	0.000219203	12.05027	11.90680	-1069.62
7695	qTQDD1C33	372149.47	3116.93	-0.532266	2.67354	-0.00151218	-0.0797502	23.2268	-0.0197312	9296.68	1.86115	-0.0150417	-0.00278767	235.635	0.00273668	-30.1931	0.00672231	12.14461	11.99055	-1077.99
7759	qTQFA4C34	375123.81	8566.26	1.69299	55.5074	-0.0339142	0.142784	262.814	0.0303511	2894.18	-0.589682	0.106014	-0.00232372	274.022	-0.0728612	-9.90551	0.00339952	12.23495	12.09598	-1086.61
7823	qTQDD1C35	378100.69	2866.3	-0.661612	389.06	0.0580252	0.258569	134.81	-0.0286122	9138.65	1.6914	0.199473	8.88671e-05	117.286	0.00377246	1.13973	0.0037845	12.34601	12.18686	-1095.3
7886	qTQFA4C36	381072.49	9670.71	1.75308	138.707	-0.0163034	0.342052	310.514	0.0780925	3280.03	-0.721184	0.294616	0.00315137	167.59	-0.0286016	13.8886	0.00882158	12.43397	12.28521	-1105.31
7950	qTQDD1C37	384046.83	3445.27	-0.719488	270.015	0.0744127	0.451907	29.0275	0.0107167	10185.2	1.97171	0.41149	-0.00647954	143.479	0.054314	32.5111	-0.00531181	12.52740	12.36555	-1115.6
