# N 	NAME 	S[cm] 	BetaX1 	AlfaX1 	BetaY1 	AlfaY1 	Teta1/(2*PI) 	BetaX2 	AlfaX2 	BetaY2 	AlfaY2 	Teta2/(2*PI) 	U      	DspX 	DspXp 	DspY 	DspYp 	NuX 	NuY 	-M56[cm]
10438	qTQFA4D44	503638.31	9221.24	1.71782	151.806	-0.0388071	0.202791	404.575	0.0614721	3175.46	-0.685192	0.240614	0.0106606	534.12	-0.111486	8.67763	0.000457418	16.85248	16.71625	-1487.47
10499	qTQDD1D45	506615.19	3186.89	-0.673336	417.143	0.0956414	0.279723	142.531	-0.0176669	9777.63	1.89084	0.295336	0.014054	273.2	0.022942	11.1892	-0.0027875	16.95080	16.79812	-1495.02
10562	qTQFA4D46	509586.99	9589.08	1.87043	54.6128	0.00947	0.306843	237.663	0.0684143	3083.36	-0.577497	0.354516	0.0168172	364.811	-0.0876448	4.67385	-7.51225e-05	17.03285	16.89457	-1499.93
10625	qTQDD1D47	512563.87	2993.39	-0.574944	31.3711	0.0118682	0.295536	15.9667	0.00661562	8964.52	1.74591	0.358357	0.0100354	167.399	0.0076682	-6.61368	-0.00132938	17.13288	16.98213	-1504.34
11011	qTQFE1E13	531025.21	9418.18	1.8374	7.93303	-0.00400515	0.189812	36.3702	0.0148719	2949.43	-0.606999	0.358724	0.0114186	149.078	-0.0216118	3.58931	0.00560319	17.63119	17.49089	-1533.95
11073	qTQDE2E14	534002.09	2970.11	-0.608556	104.091	0.00714785	0.131707	21.4531	-0.0148458	9214.76	1.79617	0.18621	0.00913851	146.386	0.06291	14.5515	-0.00144906	17.73287	17.57934	-1539.18
11135	qTQFE1E15	536976.43	9134.67	1.7235	89.3737	-0.0298254	0.165867	208.745	0.024318	3002.47	-0.619104	0.222886	0.0108403	358.114	-0.0416568	12.1283	0.00362168	17.82107	17.68159	-1543.86
11198	qTQDE2E16	539948.23	3113.92	-0.681341	324.167	0.0664507	0.2348	109.338	-0.0257178	9266.22	1.8242	0.267996	0.013425	306.692	0.102211	22.7135	-0.00442819	17.92106	17.76850	-1549.32
11259	qTQE17	542922.57	9690.71	1.85383	64.8786	0.000885053	0.262923	284.029	0.066052	2935.88	-0.589061	0.333515	0.0161881	615.484	-0.103027	12.4007	0.00152481	18.00383	17.87103	-1558.54
11314	qTQDE2E18	545896.91	3123.5	-0.627455	62.5869	0.0228561	0.301298	44.2287	0.00561602	9083.48	1.77405	0.38493	0.00865889	349.91	0.04567	-1.31948	-0.00413522	18.10090	17.96043	-1563.44
11375	qTQE19	548871.25	9263.06	1.8054	14.9273	-0.0121675	0.100754	26.8503	0.00902088	2972.95	-0.628125	0.357955	0.00955509	498.679	-0.117535	-12.5985	-0.00718929	18.18614	18.06413	-1576
