#diforb 1.1 <Complete DifOrb Measurement>  Mon Jun  9 14:54:38 2014
# Beam line=  NUMI line  . Comment>POSITIVE BUMPS
# E:HT101K 	Delta=2 
# E:HT105K 	Delta=2 
# E:VT106K 	Delta=2 
# E:VT108K 	Delta=2 
# #Energy 	Delta=0.001 
#s[cm],  x[cm],   x+sigmax, x-dxmax, name, I/I0, status
0.000000 	-0.034069 	-0.031191 	-0.038561 	ipE:HP602  	0.972842 	0
0.000000 	-0.001665 	0.003539 	-0.013439 	ipE:HP604  	0.981965 	0
0.000000 	0.035179 	0.036053 	0.033219 	ipE:HP606  	0.973007 	0
0.000000 	-0.000212 	0.003369 	-0.006272 	ipE:HP608  	0.972959 	0
0.000000 	-0.014710 	-0.006766 	-0.030609 	ipE:HP101  	0.984631 	0
0.000000 	-0.051267 	-0.046133 	-0.062173 	ipE:HP102  	0.990536 	0
0.000000 	-0.136721 	-0.132331 	-0.143739 	ipE:HP104  	0.978194 	0
0.000000 	-0.160612 	-0.156497 	-0.168376 	ipE:HP105  	0.980887 	0
0.000000 	0.111673 	0.115868 	0.104989 	ipE:HP107  	0.974296 	0
0.000000 	0.114698 	0.120732 	0.098400 	ipE:HP109  	0.980587 	0
0.000000 	-0.273064 	-0.263215 	-0.291001 	ipE:HP112  	0.982175 	0
0.000000 	0.077759 	0.084333 	0.067092 	ipE:HP114  	0.973793 	0
0.000000 	0.086637 	0.092792 	0.076634 	ipE:HP115  	0.972853 	0
0.000000 	0.242178 	0.246758 	0.233375 	ipE:HP117  	0.974731 	0
0.000000 	0.094752 	0.099281 	0.087705 	ipE:HP119  	0.974122 	0
0.000000 	0.060922 	0.064717 	0.055190 	ipE:HP121  	0.976602 	0
0.000000 	0.030758 	0.036779 	0.020399 	ipE:HPTGT  	0.975981 	0
0.000000 	0.040657 	0.055660 	0.013015 	ipE:HPBTN  	0.974384 	0
