#diforb 1.1 <Complete DifOrb Measurement>  Thu Jun  5 11:36:19 2014
# Beam line=  NUMI line  . Comment>SUCCESSFUL TEST
# E:HT101K[321] 	Delta=0 
# E:HT105K[321] 	Delta=0 
# E:VT106K[321] 	Delta=0 
# E:VT108K[321] 	Delta=0 
# #Energy 	Delta=0.001 
#s[cm],  y[cm],   y+sigmay, y-dxmay, name, I/I0, status
0.000000 	0.008273 	0.014234 	-0.003996 	ipE:VP605  	1.01605 	0
0.000000 	0.026611 	0.029717 	0.020659 	ipE:VP101  	1.01811 	0
0.000000 	0.078255 	0.081432 	0.073162 	ipE:VP103  	1.02367 	0
0.000000 	-0.098340 	-0.094888 	-0.103595 	ipE:VP106  	1.0242 	0
0.000000 	-0.049063 	-0.045827 	-0.053651 	ipE:VP108  	1.01827 	0
0.000000 	-0.095903 	-0.092766 	-0.102926 	ipE:VP110  	1.01407 	0
0.000000 	-0.202650 	-0.193672 	-0.218416 	ipE:VP111  	1.00639 	0
0.000000 	-0.479948 	-0.469982 	-0.498854 	ipE:VP113  	1.0254 	0
0.000000 	0.253488 	0.263569 	0.233747 	ipE:VP116  	1.028 	0
0.000000 	0.057088 	0.062328 	0.048634 	ipE:VP118  	1.02964 	0
0.000000 	0.011433 	0.014130 	0.005766 	ipE:VP121  	1.02622 	0
0.000000 	0.063942 	0.067593 	0.057020 	ipE:VPTGT  	1.02508 	0
0.000000 	0.032725 	0.038653 	0.018498 	ipE:VPBTN  	1.03381 	0
