#Multiwire vertical &  horizontal (all mm)
# Doug's number, taken 6/9/2014
ipE:PM101	0.83	0.66
ipE:PM105	0.51	1.26
ipE:PM107 	0.48	1.25
ipE:PM108	1.18	0.64
ipE:PM112	1.99	0.93
ipE:PM114	1.32	1.66
#ipE:PM115	0.00	0.00
ipE:PM117	0.74	1.91
ipE:PM118	1.25	1.23
ipE:PM121	1.30	1.19
ipE:PMTGT 	1.21	1.20
