OptiM Track Data
-0.0192389  	-0.000108441  	0.0521554  	0.000758428  	3436.85  	0.00118961  	0 	1
0.00787208  	0.000103947  	-0.06683  	0.000405194  	-2276.96  	-0.000779748  	3 	1
-0.0218181  	0.000198894  	-0.00808525  	-0.000596067  	-4945.11  	-0.00169469  	4 	1
-0.0221448  	-0.00103264  	0.0527132  	-0.000627259  	1957.25  	0.000679342  	6 	1
-0.0926543  	-0.000741806  	0.0560588  	-0.000188523  	37.792  	2.01422e-005  	7 	1
0.0179678  	0.00204154  	-0.0600226  	0.000598526  	-4568.84  	-0.00155736  	8 	1
0.0573546  	-0.000332605  	-0.0774507  	-0.00017316  	-1327.18  	-0.000452589  	11 	1
-0.0169134  	0.00122636  	-0.0265011  	7.6128e-005  	-3897.43  	-0.00133213  	13 	1
-0.0595102  	-6.47973e-005  	0.0277432  	-0.0012155  	13379.4  	0.00465377  	14 	1
0.0197677  	-0.00020144  	-0.00968916  	0.000166411  	-3101.03  	-0.0010654  	15 	1
0.0306002  	-0.000179716  	-0.0272288  	0.000276589  	7969.42  	0.00276589  	17 	1
-0.00721797  	-0.000579713  	0.0649377  	0.000156353  	11766.1  	0.00408612  	18 	1
-0.0806472  	-0.00131297  	0.140099  	0.000263143  	9137.93  	0.00317637  	19 	1
-0.118417  	0.000340312  	0.0779613  	-0.000531351  	11850.2  	0.00412183  	20 	1
-0.0329175  	-0.000309528  	0.0223847  	0.000143211  	3163.68  	0.00109378  	22 	1
-0.00662479  	0.000768563  	0.00765326  	0.000323341  	-1345.09  	-0.000461135  	24 	1
-0.0448599  	0.000335317  	0.056952  	0.000446167  	6934.12  	0.0024012  	26 	1
0.0898873  	-0.000646805  	-0.110752  	-0.00132299  	-7555.86  	-0.00258614  	27 	1
-0.137166  	-0.000568397  	0.16697  	-0.000127701  	12857.7  	0.0044792  	28 	1
0.116385  	-0.000271519  	-0.160329  	-0.00121645  	-7289.99  	-0.00249123  	30 	1
0.0727715  	0.000325194  	8.62058e-005  	-0.000210154  	8280.14  	0.00287545  	32 	1
0.18593  	-0.00033104  	-0.222718  	-0.000304066  	-9130.03  	-0.00312052  	34 	1
0.0196644  	-0.000274811  	0.0217549  	-0.000373197  	-733.678  	-0.000249947  	35 	1
-0.1613  	-0.000726274  	0.0803618  	0.000353557  	9329.37  	0.00324564  	36 	1
0.0317354  	0.000584624  	-0.0398807  	-0.000573485  	-796.671  	-0.000267953  	37 	1
0.0425313  	-0.000652662  	-0.0048849  	0.000423699  	4796.29  	0.00166387  	38 	1
0.0648915  	0.000728673  	-0.117459  	0.000793889  	-7849.63  	-0.00268746  	39 	1
-0.0106815  	-0.000491147  	-0.012108  	-0.00105591  	1948.78  	0.000676595  	43 	1
0.0579049  	0.000921229  	-0.0332629  	-0.000311183  	-2419.56  	-0.000823695  	44 	1
-0.0200253  	-0.000762889  	0.00201367  	-0.000899956  	-754.122  	-0.000256966  	45 	1
