  0.0000E+00  7.0799E-04
  1.2795E-01  7.6055E-04
  2.5591E-01  8.1627E-04
  3.8386E-01  8.7540E-04
  5.1181E-01  9.3817E-04
  6.3977E-01  1.0042E-03
  7.6772E-01  1.0746E-03
  8.9567E-01  1.1522E-03
  1.0236E+00  1.2391E-03
  1.1516E+00  1.3327E-03
  1.2795E+00  1.4317E-03
  1.4075E+00  1.5366E-03
  1.5354E+00  1.6460E-03
  1.6634E+00  1.7630E-03
  1.7913E+00  1.8921E-03
  1.9193E+00  2.0341E-03
  2.0472E+00  2.1866E-03
  2.1752E+00  2.3490E-03
  2.3032E+00  2.5211E-03
  2.4311E+00  2.7012E-03
  2.5591E+00  2.8939E-03
  2.6870E+00  3.1026E-03
  2.8150E+00  3.3288E-03
  2.9429E+00  3.5754E-03
  3.0709E+00  3.8422E-03
  3.1988E+00  4.1270E-03
  3.3268E+00  4.4291E-03
  3.4547E+00  4.7499E-03
  3.5827E+00  5.0883E-03
  3.7106E+00  5.4523E-03
  3.8386E+00  5.8501E-03
  3.9665E+00  6.2809E-03
  4.0945E+00  6.7457E-03
  4.2224E+00  7.2445E-03
  4.3504E+00  7.7766E-03
  4.4784E+00  8.3424E-03
  4.6063E+00  8.9426E-03
  4.7343E+00  9.5734E-03
  4.8622E+00  1.0257E-02
  4.9902E+00  1.1021E-02
  5.1181E+00  1.1849E-02
  5.2461E+00  1.2729E-02
  5.3740E+00  1.3662E-02
  5.5020E+00  1.4647E-02
  5.6299E+00  1.5690E-02
  5.7579E+00  1.6810E-02
  5.8858E+00  1.8025E-02
  6.0138E+00  1.9340E-02
  6.1417E+00  2.0776E-02
  6.2697E+00  2.2318E-02
  6.3977E+00  2.3952E-02
  6.5256E+00  2.5682E-02
  6.6536E+00  2.7501E-02
  6.7815E+00  2.9426E-02
  6.9095E+00  3.1526E-02
  7.0374E+00  3.3858E-02
  7.1654E+00  3.6374E-02
  7.2933E+00  3.9057E-02
  7.4213E+00  4.1908E-02
  7.5492E+00  4.4906E-02
  7.6772E+00  4.8083E-02
  7.8051E+00  5.1473E-02
  7.9331E+00  5.5112E-02
  8.0610E+00  5.9064E-02
  8.1890E+00  6.3386E-02
  8.3169E+00  6.8006E-02
  8.4449E+00  7.2873E-02
  8.5729E+00  7.8018E-02
  8.7008E+00  8.3408E-02
  8.8288E+00  8.9139E-02
  8.9567E+00  9.5366E-02
  9.0847E+00  1.0213E-01
  9.2126E+00  1.0936E-01
  9.3406E+00  1.1704E-01
  9.4685E+00  1.2516E-01
  9.5965E+00  1.3368E-01
  9.7244E+00  1.4268E-01
  9.8524E+00  1.5214E-01
  9.9803E+00  1.6220E-01
  1.0108E+01  1.7306E-01
  1.0236E+01  1.8471E-01
  1.0364E+01  1.9695E-01
  1.0492E+01  2.0970E-01
  1.0620E+01  2.2299E-01
  1.0748E+01  2.3678E-01
  1.0876E+01  2.5123E-01
  1.1004E+01  2.6652E-01
  1.1132E+01  2.8257E-01
  1.1260E+01  2.9934E-01
  1.1388E+01  3.1676E-01
  1.1516E+01  3.3473E-01
  1.1644E+01  3.5316E-01
  1.1772E+01  3.7213E-01
  1.1900E+01  3.9165E-01
  1.2028E+01  4.1164E-01
  1.2156E+01  4.3199E-01
  1.2283E+01  4.5269E-01
  1.2411E+01  4.7373E-01
  1.2539E+01  4.9504E-01
  1.2667E+01  5.1646E-01
  1.2795E+01  5.3789E-01
  1.2923E+01  5.5932E-01
  1.3051E+01  5.8070E-01
  1.3179E+01  6.0194E-01
  1.3307E+01  6.2299E-01
  1.3435E+01  6.4377E-01
  1.3563E+01  6.6419E-01
  1.3691E+01  6.8423E-01
  1.3819E+01  7.0388E-01
  1.3947E+01  7.2312E-01
  1.4075E+01  7.4180E-01
  1.4203E+01  7.5983E-01
  1.4331E+01  7.7726E-01
  1.4459E+01  7.9414E-01
  1.4587E+01  8.1045E-01
  1.4715E+01  8.2626E-01
  1.4843E+01  8.4146E-01
  1.4971E+01  8.5584E-01
  1.5098E+01  8.6932E-01
  1.5226E+01  8.8206E-01
  1.5354E+01  8.9414E-01
  1.5482E+01  9.0558E-01
  1.5610E+01  9.1645E-01
  1.5738E+01  9.2673E-01
  1.5866E+01  9.3648E-01
  1.5994E+01  9.4558E-01
  1.6122E+01  9.5376E-01
  1.6250E+01  9.6098E-01
  1.6378E+01  9.6753E-01
  1.6506E+01  9.7361E-01
  1.6634E+01  9.7912E-01
  1.6762E+01  9.8409E-01
  1.6890E+01  9.8847E-01
  1.7018E+01  9.9225E-01
  1.7146E+01  9.9535E-01
  1.7274E+01  9.9763E-01
  1.7402E+01  9.9909E-01
  1.7530E+01  9.9992E-01
  1.7658E+01  1.0002E+00
  1.7785E+01  1.0000E+00
  1.7913E+01  9.9931E-01
  1.8041E+01  9.9795E-01
  1.8169E+01  9.9574E-01
  1.8297E+01  9.9272E-01
  1.8425E+01  9.8893E-01
  1.8553E+01  9.8443E-01
